Index,Date, Nikkei Open,STI Open
863,05/27/13,14373.82,3388.03
864,05/28/13,13943.62,3401.89
865,05/29/13,14492.55,3407.23
866,05/30/13,14072.9,3360.08
867,05/31/13,13804.23,3329.51
868,6/3/2013,13551.36,3287.1
869,6/4/2013,13186.6,3273.46
870,6/5/2013,13566.75,3278.75
871,6/6/2013,12925.29,3211.16
872,6/7/2013,12706.41,3187.09
873,6/10/2013,13141.85,3204.39
874,6/11/2013,13504.77,3199.24
875,6/12/2013,13087.66,3151.71
876,06/13/13,13038.02,3127.14
877,06/14/13,12668.9,3147.78
878,06/17/13,12584.37,3150.5
879,06/18/13,13015.15,3198
880,06/19/13,13233.08,3225.67
881,06/20/13,13101.85,3186.6
882,06/21/13,12787.87,3081.5
883,06/24/13,13417.54,3104.28
884,06/25/13,13081.62,3069.08
885,06/26/13,13152.75,3105.83
886,06/27/13,12968.72,3133.94
887,06/28/13,13383.92,3143.18
888,7/1/2013,13746.72,3147.49
889,7/2/2013,13969.15,3153.93
890,7/3/2013,14149.99,3160.73
891,7/4/2013,13970.27,3141.41
892,7/5/2013,14150.85,3161.28
,06/15/18,22883.24,#N/A
894,7/8/2013,14491.07,3161.95
895,7/9/2013,14295.44,3167.05
896,7/10/2013,14464.82,3192.41
897,7/11/2013,14275.26,3214.69
898,7/12/2013,14475.17,3258.41
899,07/16/13,14594.88,3244.5
900,07/17/13,14491.8,3221.12
901,07/18/13,14645.25,3217.34
902,07/19/13,14909.76,3218.54
903,07/22/13,14770.02,3223.91
904,07/23/13,14555.36,3238.37
905,07/24/13,14719.64,3251.66
,05/29/18,22431.95,#N/A
907,07/25/13,14747.21,3264.97
908,07/26/13,14339.39,3237.75
909,07/29/13,13899.27,3233.69
910,07/30/13,13634.2,3238.81
911,07/31/13,13733.55,3242.45
912,8/1/2013,13674.5,3244.23
913,8/2/2013,14178.66,3263.4
914,8/5/2013,14318.21,3239.66
915,8/6/2013,14237.1,3236.19
916,8/7/2013,14155.95,3222.28
917,8/12/2013,13469.7,3227.65
918,08/13/13,13696.36,3240.24
919,08/14/13,13936.74,3249.46
920,08/15/13,13845.64,3234.33
921,08/16/13,13532.61,3194.54
922,08/19/13,13669.74,3192.26
923,08/20/13,13632.96,3158.42
,5/1/2018,22453.42,#N/A
925,08/21/13,13431.28,3120.03
926,08/22/13,13314.05,3074.7
927,08/23/13,13583.76,3092
928,08/26/13,13719.56,3090.36
929,08/27/13,13551.75,3065.88
930,08/28/13,13285.03,3007.94
931,08/29/13,13382.95,3015.93
932,08/30/13,13573.24,3036.46
933,9/2/2013,13438.07,3037.59
934,9/3/2013,13748.68,3050.12
935,9/4/2013,13875.17,3040.16
936,9/5/2013,14140.2,3031.41
937,9/6/2013,14088.41,3045.12
938,9/9/2013,14141.67,3072.35
939,9/10/2013,14318.72,3109.83
940,9/11/2013,14511.74,3133.46
941,9/12/2013,14397.9,3123.37
942,09/13/13,14316.7,3133.54
943,09/17/13,14456.99,3183.81
944,09/18/13,14411.55,3195.03
,03/30/18,21392.42,#N/A
946,09/19/13,14680.4,3255.68
947,09/20/13,14801.64,3251.96
948,09/24/13,14626.04,3213.57
949,09/25/13,14713.03,3219.03
950,09/26/13,14553.06,3198.45
